АТС;Линейно-технический цех ОАО Ростелеком;;60 лет ВЛКСМ, 3;;;83467732477;;;;;;;;;;;;;;;;;;;;;;;
Бухгалтерский учет - автоматизация;ООО Консталинг стандарт (Магазин Стиль+);;Титова, 14;;;83467741308;;;;;;;;;;;;;;;;;;;;;;;
Бухгалтерский учет - автоматизация;ООО Бизнес плюс;;Дзержинского, 181;8(34677)35-161;;89505142002;;;;;;;;;;;;;;;;;;;;;;;
Бухгалтерское сопровождение;ООО Бизнес плюс;;Дзержинского, 181;8(34677)35-161;;89505142002;;;;;;;;;;;;;;;;;;;;;;;
Бухгалтерское сопровождение;ООО Инком сервис;;Комарова, 3;;;83467733115;;;;;;;;;;;;;;;;;;;;;;;
Бухгалтерское сопровождение;ООО Консталинг стандарт (Магазин Стиль+);;Титова, 14;;;83467741308;;;;;;;;;;;;;;;;;;;;;;;
Бытовая техника;Лидер, Магазин бытовой техники;;Сибирская, 115;;;83467741195;;;;;;;;;;;;;;;;;;;;;;;
Бытовая техника;Эльдорадо, Магазин бытовой техники;;Титова, 34;;;83467741424;;;;;;;;;;;;;;;;;;;;;;;
Бытовая техника;Цифровая техника, Магазин;;Толстого, 21 - А;;;83467735095;;;;;;;;;;;;;;;;;;;;;;;
Бытовая техника;Сапфир, Магазин хозтоваров;;Толстого, 24 - 2;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Бытовая техника;Мебель, Магазин мебели;;Титова, 26;;;83467741069;;;;;;;;;;;;;;;;;;;;;;;
Бытовая техника;Магнат, Магазин хозяйственных товаров;;Толстого, 30;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Бытовая техника;КГБ, Магазин бытовой техники;;Первомайская, 27;;;83467741010;;;;;;;;;;;;;;;;;;;;;;;
Бытовая техника - ремонт;Сервисный центр КиберЛэнд;;Титова 34 (Эльдорадо 2 этаж);;;89044684615;;;;;;;;;;;;;;;;;;;;2;;;
Бытовая техника - ремонт;StelCom2;Ремонт бытовой техники;Набережная, 45;8(34677)41-271;;89220720520;;;;;;;;;;;;;;;;;;;;;;;
Бытовая техника - ремонт;Ремонт бытовой техники;;П. Морозова 34;;;89088825533;;;;;;;;;;;;;;;;;;;;;;;
Бытовая химия - продажа;Магнат, Магазин хозяйственных товаров;;Толстого, 30;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
